label,location,risks_and_indicators,01_01_2037,01_01_2027,01_01_2022,01_01_2020,01_01_2019,01_01_2018,01_01_2017,certainty1,certainty2,norm,weight
NCA,1,Fresh Water Supply,0,0,0,0,0,0,0,0,0,weights,1
CF1A,1,Surface water capacity to support output supply (food production services),2,1,1,1,2,3,3,5,3,weights,3
CF1B,1,Surface and groundwater water capacity to support clean water supplies (life support services),1,2,2,2,2,3,3,4,2,weights,4
NCB,1,Pollination,0,0,0,0,0,0,0,0,0,weights,1
CF2A,1,Degree to which pollinator health; diversity and abundance support food production services,1,1,1,1,2,3,3,5,3,weights,3
CF2B,1,Degree to which sustainable agricultural practices support biodiversity; including bee pollinators,1,2,2,2,2,3,3,4,2,weights,4
NCC,1,Air quality,0,0,0,0,0,0,0,0,0,weights,1
CF3A,1,Percent air quality level (mm per m3) against safety standard,1,1,1,1,2,3,3,5,3,weights,3
CF3B,1,Degree to which GHG emission levels support carbon sequestration and climate regulating services,5,2,2,2,2,3,3,4,2,weights,4
NC,1,Natural Capital Score,0,0,0,0,0,0,0,0,0,weights,1
PCA,1,Flood Control,0,0,0,0,0,0,0,0,0,weights,1
CF4A,1,Percent employees vulnerable to extreme flood safetry risk per total company employees,0,1,1,1,2,3,3,5,3,weights,3
CF4B,1,Degree to which company BCP supports community policies for restoring hydrological balances that protect property and lives,1.5,2,2,2,2,3,3,4,2,weights,4
PC,1,Physical Capital Score,0,0,0,0,0,0,0,0,0,weights,1
ECA,1,Employee Management,0,0,0,0,0,0,0,0,0,weights,1
CF5A,1,Percent employees filing sexual discrimination complaints per total number of employees,0,1,1,1,2,3,3,5,3,weights,3
CF5B,1,2.3.2 Percent SSIF coffee producers supplying company versus total SSIF cofee producers.,2,2,2,2,2,3,3,4,2,weights,4
EC,1,Economic Capital Score,0,0,0,0,0,0,0,0,0,weights,1
TR,1,Social Performance Score,0,0,0,0,0,0,0,0,0,weights,1
NCA_A,1,Fresh Water Supply,,,,,,,,,,,1
CF1A_A,1,Surface water capacity to support output supply (food production services),5,5,5,4,3,3,3,5,3,weights,3
CF1B_A,1,Surface and groundwater water capacity to support clean water supplies (life support services),3,4,4,4,3,2,2,4,2,weights,4
NCB_A,1,Pollination,0,0,0,0,0,0,0,0,0,weights,1
CF2A_A,1,Degree to which pollinator health; diversity and abundance support food production services,5,5,5,4,3,3,3,5,3,weights,3
CF2B_A,1,Degree to which sustainable agricultural practices support biodiversity; including bee pollinators,5,4,4,4,3,2,2,4,2,weights,4
NCC_A,1,Air quality,0,0,0,0,0,0,0,0,0,weights,0
CF3A_A,1,Percent air quality level (mm per m3) against safety standard,5,5,5,4,3,3,3,5,3,weights,3
CF3B_A,1,Degree to which GHG emission levels support carbon sequestration and climate regulating services,4,4,4,4,3,2,2,4,2,weights,4
NC_A,1,Natural Capital Score,0,0,0,0,0,0,0,0,0,weights,1
PCA_A,1,Flood Control,0,0,0,0,0,0,0,0,0,weights,1
CF4A_A,1,Percent employees vulnerable to extreme flood safetry risk per total company employees,5,5,5,4,3,3,3,5,3,weights,3
CF4B_A,1,Degree to which company BCP supports community policies for restoring hydrological balances that protect property and lives,3.5,4,4,4,3,2,2,4,2,weights,4
PC_A,1,Physical Capital Score,0,0,0,0,0,0,0,0,0,weights,1
ECA_A,1,Employee Management,0,0,0,0,0,0,0,0,0,weights,1
CF5A_A,1,Percent employees filing sexual discrimination complaints per total number of employees,5,5,5,4,3,3,3,5,3,weights,3
CF5B_A,1,2.3.2 Percent SSIF coffee producers supplying company versus total SSIF cofee producers.,4,4,4,4,3,2,2,4,2,weights,4
EC_A,1,Economic Capital Score,0,0,0,0,0,0,0,0,0,weights,1
TR_A,1,Social Performance Score,0,0,0,0,0,0,0,0,0,weights,1
NCA_AA,1,Fresh Water Supply,,,,,,,,,,,1
CF1A_AA,1,Surface water capacity to support output supply (food production services),3,4.5,4,3.5,3,3,3,5,3,weights,3
CF1B_AA,1,Surface and groundwater water capacity to support clean water supplies (life support services),2,3.5,3,3,2,1,2.5,4,2,weights,4
NCB_AA,1,Pollination,0,0,0,0,0,0,0,0,0,weights,1
CF2A_AA,1,Degree to which pollinator health; diversity and abundance support food production services,3.5,4.5,4,3.5,3,3,3,5,3,weights,3
CF2B_AA,1,Degree to which sustainable agricultural practices support biodiversity; including bee pollinators,1.5,3.5,3,3,2,1,2.5,4,2,weights,4
NCC_AA,1,Air quality,0,0,0,0,0,0,0,0,0,weights,1
CF3A_AA,1,Percent air quality level (mm per m3) against safety standard,3.5,4.5,4,3.5,3,3,3,5,3,weights,3
CF3B_AA,1,Degree to which GHG emission levels support carbon sequestration and climate regulating services,0,3.5,3,3,2,1,2.5,4,2,weights,4
NC_AA,1,Natural Capital Score,0,0,0,0,0,0,0,0,0,weights,1
PCA_AA,1,Flood Control,0,0,0,0,0,0,0,0,0,weights,1
CF4A_AA,1,Percent employees vulnerable to extreme flood safetry risk per total company employees,4.3,4.5,4,3.5,3,3,3,5,3,weights,3
CF4B_AA,1,Degree to which company BCP supports community policies for restoring hydrological balances that protect property and lives,2.5,3.5,3,3,2,1,2.5,4,2,weights,4
PC_AA,1,Physical Capital Score,0,0,0,0,0,0,0,0,0,weights,1
ECA_AA,1,Employee Management,0,0,0,0,0,0,0,0,0,weights,1
CF5A_AA,1,Percent employees filing sexual discrimination complaints per total number of employees,3.5,4.5,4,3.5,3,3,3,5,3,weights,3
CF5B_AA,1,2.3.2 Percent SSIF coffee producers supplying company versus total SSIF cofee producers.,2.5,3.5,3,3,2,1,2.5,4,2,weights,4
EC_AA,1,Economic Capital Score,0,0,0,0,0,0,0,0,0,weights,1
TR_AA,1,Social Performance Score,0,0,0,0,0,0,0,0,0,weights,1
