label,location,risks_and_indicators,01_01_2037,01_01_2027,01_01_2022,01_01_2020,01_01_2019,01_01_2018,01_01_2017,certainty1,certainty2,norm,weight
NCA,1,Fresh Water Supply,,,,,,,,,,,
SF1A,1,Percent crop yield reduction from water supply capacity,0,0,0,0,0,0,0,0,0,weights,1
SF1B,1,Percent population with insufficient clean water supply,0,2,2,2,2,3,3,4,2,weights,4
NCB,1,Pollination,0,0,0,0,0,0,0,0,0,weights,1
SF2A,1,Percent crop yield reduction; or percent operating cost increase for substitute pollinating services; caused by pollinator reductions,0,1,1,1,2,3,3,5,3,weights,3
SF2B,1,Degree to which sustainable agricultural practices support consumer satisfaction with company biodiversity actions; including bee pollinators,0,2,2,2,2,3,3,4,2,weights,4
NCC,1,Air quality,0,0,0,0,0,0,0,0,0,weights,1
SF3A,1,3.9.1 Percent employees reporting manufacturing facility air quality-related health issues; such as respiratory problems and offensive odors,0,1,1,1,2,3,3,5,3,weights,3
SF3B,1,Compliance costs as percent total costs from  national carbon sequestration and climate regulatoring requirements,0,2,2,2,2,3,3,4,2,weights,4
NC,1,Natural Capital Score,0,0,0,0,0,0,0,0,0,weights,1
PCA,1,Flood Control,0,0,0,0,0,0,0,0,0,weights,1
SF4A,1,Percent company assets that effectively reduce safety risks to employees from extreme flood events,0,1,1,1,2,3,3,5,3,weights,3
SF4B,1,Percent community assets protected from damages to life and property from extreme flood events,0,2,2,2,2,3,3,4,2,weights,4
PC,1,Physical Capital Score,0,0,0,0,0,0,0,0,0,weights,1
ECA,1,Employee Management,0,0,0,0,0,0,0,0,0,weights,1
SF5A,1,Percent employees satisfied with company discrimination policies,0,1,1,1,2,3,3,5,3,weights,3
SF5B,1,2.3.2 Average income of small-scale food producers who are female and indigenous,0,2,2,2,2,3,3,4,2,weights,4
EC,1,Economic Capital Score,0,0,0,0,0,0,0,0,0,weights,1
TR,1,Social Performance Score,0,0,0,0,0,0,0,0,0,weights,1
NCA_A,1,Fresh Water Supply,0,0,0,0,0,0,0,0,0,weights,1
SF1A_A,1,Percent crop yield reduction from water supply capacity,0,5,5,4,3,3,3,5,3,weights,3
SF1B_A,1,Percent population with insufficient clean water supply,0,4,4,4,3,2,2,4,2,weights,4
NCB_A,1,Pollination,0,0,0,0,0,0,0,0,0,weights,1
SF2A_A,1,Percent crop yield reduction; or percent operating cost increase for substitute pollinating services; caused by pollinator reductions,0,5,5,4,3,3,3,5,3,weights,3
SF2B_A,1,Degree to which sustainable agricultural practices support consumer satisfaction with company biodiversity actions; including bee pollinators,0,4,4,4,3,2,2,4,2,weights,4
NCC_A,1,Air quality,0,0,0,0,0,0,0,0,0,weights,1
SF3A_A,1,3.9.1 Percent employees reporting manufacturing facility air quality-related health issues; such as respiratory problems and offensive odors,0,5,5,4,3,3,3,5,3,weights,3
SF3B_A,1,Compliance costs as percent total costs from  national carbon sequestration and climate regulatoring requirements,0,4,4,4,3,2,2,4,2,weights,4
NC_A,1,Natural Capital Score,0,0,0,0,0,0,0,0,0,weights,1
PCA_A,1,Flood Control,0,0,0,0,0,0,0,0,0,weights,1
SF4A_A,1,Percent company assets that effectively reduce safety risks to employees from extreme flood events,0,5,5,4,3,3,3,5,3,weights,3
SF4B_A,1,Percent community assets protected from damages to life and property from extreme flood events,0,4,4,4,3,2,2,4,2,weights,4
PC_A,1,Physical Capital Score,0,0,0,0,0,0,0,0,0,weights,1
ECA_A,1,Employee Management,0,0,0,0,0,0,0,0,0,weights,1
SF5A_A,,Percent employees satisfied with company discrimination policies,0,5,5,4,3,3,3,5,3,weights,3
SF5B_A,1,2.3.2 Average income of small-scale food producers who are female and indigenous,0,4,4,4,3,2,2,4,2,weights,4
EC_A,1,Economic Capital Score,0,0,0,0,0,0,0,0,0,weights,1
TR_A,1,Social Performance Score,0,0,0,0,0,0,0,0,0,weights,1
NCA_AA,1,Fresh Water Supply,0,0,0,0,0,0,0,0,0,weights,1
SF1A_AA,1,Percent crop yield reduction from water supply capacity,0,4.5,4,3.5,3,3,3,5,3,weights,3
SF1B_AA,1,Percent population with insufficient clean water supply,0,3.5,3,3,2,1,2.5,4,2,weights,4
NCB_AA,1,Pollination,0,0,0,0,0,0,0,0,0,weights,1
SF2A_AA,1,Percent crop yield reduction; or percent operating cost increase for substitute pollinating services; caused by pollinator reductions,0,4.5,4,3.5,3,3,3,5,3,weights,3
SF2B_AA,1,Degree to which sustainable agricultural practices support consumer satisfaction with company biodiversity actions; including bee pollinators,0,3.5,3,3,2,1,2.5,4,2,weights,4
NCC_AA,1,Air quality,0,0,0,0,0,0,0,0,0,weights,1
SF3A_AA,1,3.9.1 Percent employees reporting manufacturing facility air quality-related health issues; such as respiratory problems and offensive odors,0,4.5,4,3.5,3,3,3,5,3,weights,3
SF3B_AA,1,Compliance costs as percent total costs from  national carbon sequestration and climate regulatoring requirements,0,3.5,3,3,2,1,2.5,4,2,weights,4
NC_AA,1,Natural Capital Score,0,0,0,0,0,0,0,0,0,weights,1
PCA_AA,1,Flood Control,0,0,0,0,0,0,0,0,0,weights,1
SF4A_AA,1,Percent company assets that effectively reduce safety risks to employees from extreme flood events,0,4.5,4,3.5,3,3,3,5,3,weights,3
SF4B_AA,1,Percent community assets protected from damages to life and property from extreme flood events,0,3.5,3,3,2,1,2.5,4,2,weights,4
PC_AA,1,Physical Capital Score,0,0,0,0,0,0,0,0,0,weights,1
ECA_AA,1,Employee Management,0,0,0,0,0,0,0,0,0,weights,1
SF5A_AA,1,Percent employees satisfied with company discrimination policies,0,4.5,4,3.5,3,3,3,5,3,weights,3
SF5B_AA,1,2.3.2 Average income of small-scale food producers who are female and indigenous,0,3.5,3,3,2,1,2.5,4,2,weights,4
EC_AA,1,Economic Capital Score,0,0,0,0,0,0,0,0,0,weights,1
TR_AA,1,Social Performance Score,0,0,0,0,0,0,0,0,0,weights,1
